ICD,Flag,ICDString,CCSCode,CCSString
S36,10,Injury of intra-abdominal organs,234,Crushing injury or internal injury
S37,10,Injury of urinary and pelvic organs,234,Crushing injury or internal injury
B00,10,Herpesviral [herpes simplex] infections,7,Viral infection
A60,10,Anogenital herpesviral [herpes simplex] infections,7,Viral infection
J39,10,Other diseases of upper respiratory tract,134,Other upper respiratory disease
J99,10,Respiratory disorders in diseases classified elsewhere,133,Other lower respiratory disease
I31,10,Other diseases of pericardium,97,Peri-; endo-; and myocarditis; cardiomyopathy
N71,10,"Inflammatory disease of uterus, except cervix",168,Inflammatory diseases of female pelvic organs
D05,10,Carcinoma in situ of breast,24,Cancer of breast
K72,10,"Hepatic failure, not elsewhere classified",151,Other liver diseases
C53,10,Malignant neoplasm of cervix uteri,26,Cancer of cervix
L75,10,Apocrine sweat disorders,200,Other skin disorders
L74,10,Eccrine sweat disorders,200,Other skin disorders
N00,10,Acute nephritic syndrome,156,Nephritis; nephrosis; renal sclerosis
E65,10,Localized adiposity,58,Other nutritional; endocrine; and metabolic disorders
H04,10,Disorders of lacrimal system,90,Inflammation; infection of eye
B88,10,Other infestations,8,Other infections; including parasitic
B87,10,Myiasis,8,Other infections; including parasitic
B86,10,Scabies,8,Other infections; including parasitic
A46,10,Erysipelas,197,Skin and subcutaneous tissue infections
L08,10,Other local infections of skin and subcutaneous tissue,197,Skin and subcutaneous tissue infections
A26,10,Erysipeloid,3,Bacterial infection; unspecified site
R42,10,Dizziness and giddiness,93,Conditions associated with dizziness or vertigo
Q22,10,Congenital malformations of pulmonary and tricuspid valves,213,Cardiac and circulatory congenital anomalies
O30,10,Multiple gestation,188,Fetopelvic disproportion; obstruction
C93,10,Monocytic leukemia,39,Leukemias
J20,10,Acute bronchitis,125,Acute bronchitis
J21,10,Acute bronchiolitis,125,Acute bronchitis
L55,10,Sunburn,198,Other inflammatory condition of skin
K58,10,Irritable bowel syndrome,155,Other gastrointestinal disorders
E28,10,Ovarian dysfunction,51,Other endocrine disorders
D52,10,Folate deficiency anemia,59,Deficiency and other anemia
R51,10,Headache,84,Headache; including migraine
G44,10,Other headache syndromes,84,Headache; including migraine
K82,10,Other diseases of gallbladder,149,Biliary tract disease
N34,10,Urethritis and urethral syndrome,159,Urinary tract infections
Q80,10,Congenital ichthyosis,217,Other congenital anomalies
C06,10,Malignant neoplasm of other and unspecified parts of mouth,11,Cancer of head and neck
C05,10,Malignant neoplasm of palate,11,Cancer of head and neck
C62,10,Malignant neoplasm of testis,30,Cancer of testis
D36,10,Benign neoplasm of other and unspecified sites,47,Other and unspecified benign neoplasm
A17,10,Tuberculosis of nervous system,1,Tuberculosis
A15,10,Respiratory tuberculosis,1,Tuberculosis
A19,10,Miliary tuberculosis,1,Tuberculosis
A18,10,Tuberculosis of other organs,1,Tuberculosis
B90,10,Sequelae of tuberculosis,1,Tuberculosis
D27,10,Benign neoplasm of ovary,47,Other and unspecified benign neoplasm
K35,10,Acute appendicitis,142,Appendicitis and other appendiceal conditions
R20,10,Disturbances of skin sensation,95,Other nervous system disorders
O29,10,Complications of anesthesia during pregnancy,181,Other complications of pregnancy
O12,10,Gestational [pregnancy-induced] edema and proteinuria without hypertension,181,Other complications of pregnancy
K67,10,Disorders of peritoneum in infectious diseases classified elsewhere,148,Peritonitis and intestinal abscess
K65,10,Peritonitis,148,Peritonitis and intestinal abscess
N74,10,Female pelvic inflammatory disorders in diseases classified elsewhere,168,Inflammatory diseases of female pelvic organs
E16,10,Other disorders of pancreatic internal secretion,51,Other endocrine disorders
D57,10,Sickle-cell disorders,61,Sickle cell anemia
F54,10,Psychological and behavioral factors associated with disorders or diseases classified elsewhere,670,Miscellaneous mental health disorders
P51,10,Umbilical hemorrhage of newborn,224,Other perinatal conditions
P50,10,Newborn affected by intrauterine (fetal) blood loss,224,Other perinatal conditions
P54,10,Other neonatal hemorrhages,224,Other perinatal conditions
F50,10,Eating disorders,670,Miscellaneous mental health disorders
L29,10,Pruritus,198,Other inflammatory condition of skin
R33,10,Retention of urine,163,Genitourinary symptoms and ill-defined conditions
D09,10,Carcinoma in situ of other and unspecified sites,32,Cancer of bladder
G43,10,Migraine,84,Headache; including migraine
N82,10,Fistulae involving female genital tract,175,Other female genital disorders
F28,10,Other psychotic disorder not due to a substance or known physiological condition,659,Schizophrenia and other psychotic disorders
F29,10,Unspecified psychosis not due to a substance or known physiological condition,659,Schizophrenia and other psychotic disorders
H18,10,Other disorders of cornea,91,Other eye disorders
I61,10,Nontraumatic intracerebral hemorrhage,109,Acute cerebrovascular disease
D34,10,Benign neoplasm of thyroid gland,47,Other and unspecified benign neoplasm
K77,10,Liver disorders in diseases classified elsewhere,151,Other liver diseases
K76,10,Other diseases of liver,151,Other liver diseases
R01,10,Cardiac murmurs and other cardiac sounds,96,Heart valve disorders
L01,10,Impetigo,197,Skin and subcutaneous tissue infections
M83,10,Adult osteomalacia,52,Nutritional deficiencies
P78,10,Other perinatal digestive system disorders,224,Other perinatal conditions
P77,10,Necrotizing enterocolitis of newborn,224,Other perinatal conditions
P76,10,Other intestinal obstruction of newborn,224,Other perinatal conditions
J43,10,Emphysema,127,Chronic obstructive pulmonary disease and bronchiectasis
R61,10,Generalized hyperhidrosis,200,Other skin disorders
N75,10,Diseases of Bartholins gland,168,Inflammatory diseases of female pelvic organs
B39,10,Histoplasmosis,122,Pneumonia
E06,10,Thyroiditis,48,Thyroid disorders
Q14,10,Congenital malformations of posterior segment of eye,217,Other congenital anomalies
C81,10,Hodgkin lymphoma,37,Hodgkin`s disease
H43,10,Disorders of vitreous body,91,Other eye disorders
T68,10,Hypothermia,244,Other injuries and conditions due to external causes
Z16,10,Resistance to antimicrobial drugs,3,Bacterial infection; unspecified site
E50,10,Vitamin A deficiency,52,Nutritional deficiencies
M10,10,Gout,54,Gout and other crystal arthropathies
N53,10,Other male sexual dysfunction,166,Other male genital disorders
N51,10,Disorders of male genital organs in diseases classified elsewhere,166,Other male genital disorders
H25,10,Age-related cataract,86,Cataract
K64,10,Hemorrhoids and perianal venous thrombosis,120,Hemorrhoids
L40,10,Psoriasis,198,Other inflammatory condition of skin
I76,10,Septic arterial embolism,2,Septicemia (except in labor)
N36,10,Other disorders of urethra,162,Other diseases of bladder and urethra
L70,10,Acne,200,Other skin disorders
Z90,10,"Acquired absence of organs, not elsewhere classified",259,Residual codes; unclassified
J40,10,"Bronchitis, not specified as acute or chronic",127,Chronic obstructive pulmonary disease and bronchiectasis
O72,10,Postpartum hemorrhage,195,Other complications of birth; puerperium affecting management of mother
Q44,10,"Congenital malformations of gallbladder, bile ducts and liver",214,Digestive congenital anomalies
E29,10,Testicular dysfunction,51,Other endocrine disorders
F25,10,Schizoaffective disorders,659,Schizophrenia and other psychotic disorders
F20,10,Schizophrenia,659,Schizophrenia and other psychotic disorders
F90,10,Attention-deficit hyperactivity disorders,652,Attention-deficit
D49,10,Neoplasms of unspecified behavior,44,Neoplasms of unspecified nature or uncertain behavior
C80,10,Malignant neoplasm without specification of site,43,Malignant neoplasm without specification of site
C76,10,Malignant neoplasm of other and ill-defined sites,11,Cancer of head and neck
Z85,10,Personal history of malignant neoplasm,18,Cancer of other GI organs; peritoneum
R32,10,Unspecified urinary incontinence,163,Genitourinary symptoms and ill-defined conditions
M87,10,Osteonecrosis,212,Other bone disease and musculoskeletal deformities
O11,10,Pre-existing hypertension with pre-eclampsia,183,Hypertension complicating pregnancy; childbirth and the puerperium
O15,10,Eclampsia,183,Hypertension complicating pregnancy; childbirth and the puerperium
O14,10,Pre-eclampsia,183,Hypertension complicating pregnancy; childbirth and the puerperium
A64,10,Unspecified sexually transmitted disease,9,Sexually transmitted infections
A50,10,Congenital syphilis,9,Sexually transmitted infections
A55,10,Chlamydial lymphogranuloma (venereum),9,Sexually transmitted infections
A58,10,Granuloma inguinale,9,Sexually transmitted infections
A52,10,Late syphilis,9,Sexually transmitted infections
A51,10,Early syphilis,9,Sexually transmitted infections
A53,10,Other and unspecified syphilis,9,Sexually transmitted infections
A57,10,Chancroid,9,Sexually transmitted infections
C03,10,Malignant neoplasm of gum,11,Cancer of head and neck
D40,10,Neoplasm of uncertain behavior of male genital organs,44,Neoplasms of unspecified nature or uncertain behavior
G26,10,Extrapyramidal and movement disorders in diseases classified elsewhere,81,Other hereditary and degenerative nervous system conditions
G25,10,Other extrapyramidal and movement disorders,81,Other hereditary and degenerative nervous system conditions
C09,10,Malignant neoplasm of tonsil,11,Cancer of head and neck
C10,10,Malignant neoplasm of oropharynx,11,Cancer of head and neck
D77,10,Other disorders of blood and blood-forming organs in diseases classified elsewhere,64,Other hematologic conditions
C25,10,Malignant neoplasm of pancreas,17,Cancer of pancreas
F21,10,Schizotypal disorder,659,Schizophrenia and other psychotic disorders
E58,10,Dietary calcium deficiency,52,Nutritional deficiencies
E60,10,Dietary zinc deficiency,52,Nutritional deficiencies
E59,10,Dietary selenium deficiency,52,Nutritional deficiencies
M33,10,Dermatopolymyositis,210,Systemic lupus erythematosus and connective tissue disorders
V49,10,Car occupant injured in other and unspecified transport accidents,2607,E Codes: Motor vehicle traffic (MVT)
T88,10,"Other complications of surgical and medical care, not elsewhere classified",238,Complications of surgical procedures or medical care
N98,10,Complications associated with artificial fertilization,238,Complications of surgical procedures or medical care
P26,10,Pulmonary hemorrhage originating in the perinatal period,224,Other perinatal conditions
P27,10,Chronic respiratory disease originating in the perinatal period,224,Other perinatal conditions
L50,10,Urticaria,253,Allergic reactions
J42,10,Unspecified chronic bronchitis,127,Chronic obstructive pulmonary disease and bronchiectasis
J41,10,Simple and mucopurulent chronic bronchitis,127,Chronic obstructive pulmonary disease and bronchiectasis
C72,10,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",35,Cancer of brain and nervous system
C70,10,Malignant neoplasm of meninges,35,Cancer of brain and nervous system
E24,10,Cushings syndrome,51,Other endocrine disorders
I10,10,Essential (primary) hypertension,98,Essential hypertension
D42,10,Neoplasm of uncertain behavior of meninges,44,Neoplasms of unspecified nature or uncertain behavior
F99,10,"Mental disorder, not otherwise specified",670,Miscellaneous mental health disorders
I48,10,Atrial fibrillation and flutter,106,Cardiac dysrhythmias
J45,10,Asthma,128,Asthma
C31,10,Malignant neoplasm of accessory sinuses,11,Cancer of head and neck
H60,10,Otitis externa,94,Other ear and sense organ disorders
H62,10,Disorders of external ear in diseases classified elsewhere,94,Other ear and sense organ disorders
R11,10,Nausea and vomiting,250,Nausea and vomiting
I02,10,Rheumatic chorea,97,Peri-; endo-; and myocarditis; cardiomyopathy
I00,10,Rheumatic fever without heart involvement,3,Bacterial infection; unspecified site
C16,10,Malignant neoplasm of stomach,13,Cancer of stomach
E76,10,Disorders of glycosaminoglycan metabolism,58,Other nutritional; endocrine; and metabolic disorders
E77,10,Disorders of glycoprotein metabolism,58,Other nutritional; endocrine; and metabolic disorders
M86,10,Osteomyelitis,201,Infective arthritis and osteomyelitis
C63,10,Malignant neoplasm of other and unspecified male genital organs,31,Cancer of other male genital organs
C60,10,Malignant neoplasm of penis,31,Cancer of other male genital organs
E43,10,Unspecified severe protein-calorie malnutrition,52,Nutritional deficiencies
E45,10,Retarded development following protein-calorie malnutrition,52,Nutritional deficiencies
J22,10,Unspecified acute lower respiratory infection,133,Other lower respiratory disease
M53,10,"Other and unspecified dorsopathies, not elsewhere classified",205,Spondylosis; intervertebral disc disorders; other back problems
H65,10,Nonsuppurative otitis media,92,Otitis media and related conditions
O00,10,Ectopic pregnancy,180,Ectopic pregnancy
S02,10,Fracture of skull and facial bones,228,Skull and face fractures
S06,10,Intracranial injury,233,Intracranial injury
G53,10,Cranial nerve disorders in diseases classified elsewhere,95,Other nervous system disorders
G52,10,Disorders of other cranial nerves,95,Other nervous system disorders
O25,10,"Malnutrition in pregnancy, childbirth and the puerperium",181,Other complications of pregnancy
O9A,10,"Maternal malignant neoplasms, traumatic injuries and abuse classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",181,Other complications of pregnancy
D50,10,Iron deficiency anemia,59,Deficiency and other anemia
N41,10,Inflammatory diseases of prostate,165,Inflammatory conditions of male genital organs
O23,10,Infections of genitourinary tract in pregnancy,181,Other complications of pregnancy
B44,10,Aspergillosis,4,Mycoses
J03,10,Acute tonsillitis,126,Other upper respiratory infections
R12,10,Heartburn,155,Other gastrointestinal disorders
N62,10,Hypertrophy of breast,167,Nonmalignant breast conditions
C22,10,Malignant neoplasm of liver and intrahepatic bile ducts,16,Cancer of liver and intrahepatic bile duct
C20,10,Malignant neoplasm of rectum,15,Cancer of rectum and anus
C19,10,Malignant neoplasm of rectosigmoid junction,15,Cancer of rectum and anus
K87,10,"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",149,Biliary tract disease
K83,10,Other diseases of biliary tract,149,Biliary tract disease
T59,10,"Toxic effect of other gases, fumes and vapors",243,Poisoning by nonmedicinal substances
G91,10,Hydrocephalus,95,Other nervous system disorders
N17,10,Acute kidney failure,157,Acute and unspecified renal failure
L63,10,Alopecia areata,200,Other skin disorders
A78,10,Q fever,3,Bacterial infection; unspecified site
J14,10,Pneumonia due to Hemophilus influenzae,122,Pneumonia
K21,10,Gastro-esophageal reflux disease,138,Esophageal disorders
D73,10,Diseases of spleen,64,Other hematologic conditions
H51,10,Other disorders of binocular movement,91,Other eye disorders
J04,10,Acute laryngitis and tracheitis,126,Other upper respiratory infections
Q24,10,Other congenital malformations of heart,213,Cardiac and circulatory congenital anomalies
Q34,10,Other congenital malformations of respiratory system,217,Other congenital anomalies
Q32,10,Congenital malformations of trachea and bronchus,217,Other congenital anomalies
Q31,10,Congenital malformations of larynx,217,Other congenital anomalies
Q33,10,Congenital malformations of lung,217,Other congenital anomalies
K41,10,Femoral hernia,143,Abdominal hernia
C04,10,Malignant neoplasm of floor of mouth,11,Cancer of head and neck
C01,10,Malignant neoplasm of base of tongue,11,Cancer of head and neck
C02,10,Malignant neoplasm of other and unspecified parts of tongue,11,Cancer of head and neck
N91,10,"Absent, scanty and rare menstruation",171,Menstrual disorders
E70,10,Disorders of aromatic amino-acid metabolism,58,Other nutritional; endocrine; and metabolic disorders
Q65,10,Congenital deformities of hip,217,Other congenital anomalies
D01,10,Carcinoma in situ of other and unspecified digestive organs,14,Cancer of colon
H17,10,Corneal scars and opacities,91,Other eye disorders
H49,10,Paralytic strabismus,91,Other eye disorders
E26,10,Hyperaldosteronism,51,Other endocrine disorders
K57,10,Diverticular disease of intestine,146,Diverticulosis and diverticulitis
F32,10,"Major depressive disorder, single episode",657,Mood disorders
F33,10,"Major depressive disorder, recurrent",657,Mood disorders
Q62,10,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,215,Genitourinary congenital anomalies
C56,10,Malignant neoplasm of ovary,27,Cancer of ovary
R27,10,Other lack of coordination,95,Other nervous system disorders
G24,10,Dystonia,81,Other hereditary and degenerative nervous system conditions
J66,10,Airway disease due to specific organic dust,132,Lung disease due to external agents
J67,10,Hypersensitivity pneumonitis due to organic dust,132,Lung disease due to external agents
N14,10,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,156,Nephritis; nephrosis; renal sclerosis
N05,10,Unspecified nephritic syndrome,156,Nephritis; nephrosis; renal sclerosis
T86,10,Complications of transplanted organs and tissue,237,Complication of device; implant or graft
Y83,10,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",2616,E Codes: Adverse effects of medical care
C50,10,Malignant neoplasm of breast,24,Cancer of breast
N23,10,Unspecified renal colic,160,Calculus of urinary tract
A71,10,Trachoma,90,Inflammation; infection of eye
H15,10,Disorders of sclera,90,Inflammation; infection of eye
H44,10,Disorders of globe,90,Inflammation; infection of eye
J35,10,Chronic diseases of tonsils and adenoids,124,Acute and chronic tonsillitis
H34,10,Retinal vascular occlusions,87,Retinal detachments; defects; vascular occlusion; and retinopathy
J37,10,Chronic laryngitis and laryngotracheitis,134,Other upper respiratory disease
G37,10,Other demyelinating diseases of central nervous system,95,Other nervous system disorders
G36,10,Other acute disseminated demyelination,95,Other nervous system disorders
E35,10,Disorders of endocrine glands in diseases classified elsewhere,51,Other endocrine disorders
E07,10,Other disorders of thyroid,48,Thyroid disorders
Q40,10,Other congenital malformations of upper alimentary tract,214,Digestive congenital anomalies
G06,10,Intracranial and intraspinal abscess and granuloma,78,Other CNS infection and poliomyelitis
G09,10,Sequelae of inflammatory diseases of central nervous system,78,Other CNS infection and poliomyelitis
A80,10,Acute poliomyelitis,78,Other CNS infection and poliomyelitis
B91,10,Sequelae of poliomyelitis,78,Other CNS infection and poliomyelitis
G14,10,Postpolio syndrome,78,Other CNS infection and poliomyelitis
G07,10,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,78,Other CNS infection and poliomyelitis
I86,10,Varicose veins of other sites,121,Other diseases of veins and lymphatics
E56,10,Other vitamin deficiencies,52,Nutritional deficiencies
M65,10,Synovitis and tenosynovitis,211,Other connective tissue disease
Q02,10,Microcephaly,216,Nervous system congenital anomalies
Q06,10,Other congenital malformations of spinal cord,216,Nervous system congenital anomalies
Q03,10,Congenital hydrocephalus,216,Nervous system congenital anomalies
Q11,10,"Anophthalmos, microphthalmos and macrophthalmos",217,Other congenital anomalies
Q15,10,Other congenital malformations of eye,217,Other congenital anomalies
Q13,10,Congenital malformations of anterior segment of eye,217,Other congenital anomalies
F44,10,Dissociative and conversion disorders,670,Miscellaneous mental health disorders
J64,10,Unspecified pneumoconiosis,132,Lung disease due to external agents
J61,10,Pneumoconiosis due to asbestos and other mineral fibers,132,Lung disease due to external agents
J60,10,Coalworkers pneumoconiosis,132,Lung disease due to external agents
J63,10,Pneumoconiosis due to other inorganic dusts,132,Lung disease due to external agents
J62,10,Pneumoconiosis due to dust containing silica,132,Lung disease due to external agents
J65,10,Silicotuberculosis,1,Tuberculosis
S94,10,Injury of nerves at ankle and foot level,244,Other injuries and conditions due to external causes
S84,10,Injury of nerves at lower leg level,244,Other injuries and conditions due to external causes
S54,10,Injury of nerves at forearm level,244,Other injuries and conditions due to external causes
S44,10,Injury of nerves at shoulder and upper arm level,244,Other injuries and conditions due to external causes
S04,10,Injury of cranial nerve,244,Other injuries and conditions due to external causes
S64,10,Injury of nerves at wrist and hand level,244,Other injuries and conditions due to external causes
S74,10,Injury of nerves at hip and thigh level,244,Other injuries and conditions due to external causes
D62,10,Acute posthemorrhagic anemia,60,Acute posthemorrhagic anemia
I22,10,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,100,Acute myocardial infarction
I21,10,Acute myocardial infarction,100,Acute myocardial infarction
E25,10,Adrenogenital disorders,51,Other endocrine disorders
L64,10,Androgenic alopecia,200,Other skin disorders
L66,10,Cicatricial alopecia [scarring hair loss],200,Other skin disorders
C14,10,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",11,Cancer of head and neck
M50,10,Cervical disc disorders,205,Spondylosis; intervertebral disc disorders; other back problems
Q36,10,Cleft lip,217,Other congenital anomalies
Q37,10,Cleft palate with cleft lip,217,Other congenital anomalies
Q35,10,Cleft palate,217,Other congenital anomalies
G08,10,Intracranial and intraspinal phlebitis and thrombophlebitis,95,Other nervous system disorders
G81,10,Hemiplegia and hemiparesis,82,Paralysis
I69,10,Sequelae of cerebrovascular disease,113,Late effects of cerebrovascular disease
M1A,10,Chronic gout,54,Gout and other crystal arthropathies
X72,10,Intentional self-harm by handgun discharge,662,Suicide and intentional self-inflicted injury
X83,10,Intentional self-harm by other specified means,662,Suicide and intentional self-inflicted injury
X71,10,Intentional self-harm by drowning and submersion,662,Suicide and intentional self-inflicted injury
X81,10,Intentional self-harm by jumping or lying in front of moving object,662,Suicide and intentional self-inflicted injury
X73,10,"Intentional self-harm by rifle, shotgun and larger firearm discharge",662,Suicide and intentional self-inflicted injury
X82,10,Intentional self-harm by crashing of motor vehicle,662,Suicide and intentional self-inflicted injury
X80,10,Intentional self-harm by jumping from a high place,662,Suicide and intentional self-inflicted injury
X77,10,"Intentional self-harm by steam, hot vapors and hot objects",662,Suicide and intentional self-inflicted injury
X78,10,Intentional self-harm by sharp object,662,Suicide and intentional self-inflicted injury
X74,10,Intentional self-harm by other and unspecified firearm and gun discharge,662,Suicide and intentional self-inflicted injury
X76,10,"Intentional self-harm by smoke, fire and flames",662,Suicide and intentional self-inflicted injury
X79,10,Intentional self-harm by blunt object,662,Suicide and intentional self-inflicted injury
X75,10,Intentional self-harm by explosive material,662,Suicide and intentional self-inflicted injury
M23,10,Internal derangement of knee,225,Joint disorders and dislocations; trauma-related
M92,10,Other juvenile osteochondrosis,212,Other bone disease and musculoskeletal deformities
M91,10,Juvenile osteochondrosis of hip and pelvis,212,Other bone disease and musculoskeletal deformities
S57,10,Crushing injury of elbow and forearm,234,Crushing injury or internal injury
S67,10,"Crushing injury of wrist, hand and fingers",234,Crushing injury or internal injury
S77,10,Crushing injury of hip and thigh,234,Crushing injury or internal injury
S47,10,Crushing injury of shoulder and upper arm,234,Crushing injury or internal injury
S07,10,Crushing injury of head,234,Crushing injury or internal injury
S97,10,Crushing injury of ankle and foot,234,Crushing injury or internal injury
S17,10,Crushing injury of neck,234,Crushing injury or internal injury
S87,10,Crushing injury of lower leg,234,Crushing injury or internal injury
A38,10,Scarlet fever,3,Bacterial infection; unspecified site
P02,10,"Newborn affected by complications of placenta, cord and membranes",224,Other perinatal conditions
P00,10,Newborn affected by maternal conditions that may be unrelated to present pregnancy,224,Other perinatal conditions
Q86,10,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",660,Alcohol-related disorders
P08,10,Disorders of newborn related to long gestation and high birth weight,224,Other perinatal conditions
P04,10,Newborn affected by noxious substances transmitted via placenta or breast milk,224,Other perinatal conditions
P01,10,Newborn affected by maternal complications of pregnancy,224,Other perinatal conditions
P03,10,Newborn affected by other complications of labor and delivery,224,Other perinatal conditions
H53,10,Visual disturbances,89,Blindness and vision defects
S12,10,Fracture of cervical vertebra and other parts of neck,231,Other fractures
M01,10,Direct infections of joint in infectious and parasitic diseases classified elsewhere,201,Infective arthritis and osteomyelitis
S10,10,Superficial injury of neck,239,Superficial injury; contusion
I25,10,Chronic ischemic heart disease,101,Coronary atherosclerosis and other heart disease
L90,10,Atrophic disorders of skin,200,Other skin disorders
L72,10,Follicular cysts of skin and subcutaneous tissue,200,Other skin disorders
T63,10,Toxic effect of contact with venomous animals and plants,243,Poisoning by nonmedicinal substances
K38,10,Other diseases of appendix,142,Appendicitis and other appendiceal conditions
K45,10,Other abdominal hernia,143,Abdominal hernia
N97,10,Female infertility,174,Female infertility
O40,10,Polyhydramnios,191,Polyhydramnios and other problems of amniotic cavity
O41,10,Other disorders of amniotic fluid and membranes,191,Polyhydramnios and other problems of amniotic cavity
O42,10,Premature rupture of membranes,191,Polyhydramnios and other problems of amniotic cavity
B65,10,Schistosomiasis [bilharziasis],8,Other infections; including parasitic
B74,10,Filariasis,8,Other infections; including parasitic
B66,10,Other fluke infections,8,Other infections; including parasitic
B73,10,Onchocerciasis,8,Other infections; including parasitic
B76,10,Hookworm diseases,8,Other infections; including parasitic
B82,10,Unspecified intestinal parasitism,8,Other infections; including parasitic
B72,10,Dracunculiasis,8,Other infections; including parasitic
E86,10,Volume depletion,55,Fluid and electrolyte disorders
J36,10,Peritonsillar abscess,124,Acute and chronic tonsillitis
K20,10,Esophagitis,138,Esophageal disorders
S25,10,Injury of blood vessels of thorax,234,Crushing injury or internal injury
S75,10,Injury of blood vessels at hip and thigh level,234,Crushing injury or internal injury
S45,10,Injury of blood vessels at shoulder and upper arm level,234,Crushing injury or internal injury
S15,10,Injury of blood vessels at neck level,234,Crushing injury or internal injury
S65,10,Injury of blood vessels at wrist and hand level,234,Crushing injury or internal injury
S55,10,Injury of blood vessels at forearm level,234,Crushing injury or internal injury
S95,10,Injury of blood vessels at ankle and foot level,234,Crushing injury or internal injury
S85,10,Injury of blood vessels at lower leg level,234,Crushing injury or internal injury
S35,10,"Injury of blood vessels at abdomen, lower back and pelvis level",234,Crushing injury or internal injury
O80,10,Encounter for full-term uncomplicated delivery,196,Other pregnancy and delivery including normal
O10,10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",183,Hypertension complicating pregnancy; childbirth and the puerperium
O16,10,Unspecified maternal hypertension,183,Hypertension complicating pregnancy; childbirth and the puerperium
O13,10,Gestational [pregnancy-induced] hypertension without significant proteinuria,183,Hypertension complicating pregnancy; childbirth and the puerperium
B27,10,Infectious mononucleosis,7,Viral infection
N29,10,Other disorders of kidney and ureter in diseases classified elsewhere,161,Other diseases of kidney and ureters
T50,10,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances",242,Poisoning by other medications and drugs
Z88,10,"Allergy status to drugs, medicaments and biological substances",253,Allergic reactions
H69,10,Other and unspecified disorders of Eustachian tube,92,Otitis media and related conditions
H68,10,Eustachian salpingitis and obstruction,92,Otitis media and related conditions
H35,10,Other retinal disorders,87,Retinal detachments; defects; vascular occlusion; and retinopathy
B38,10,Coccidioidomycosis,122,Pneumonia
L89,10,Pressure ulcer,199,Chronic ulcer of skin
A02,10,Other salmonella infections,135,Intestinal infection
A03,10,Shigellosis,135,Intestinal infection
C82,10,Follicular lymphoma,38,Non-Hodgkin`s lymphoma
G80,10,Cerebral palsy,82,Paralysis
I68,10,Cerebrovascular disorders in diseases classified elsewhere,111,Other and ill-defined cerebrovascular disease
B35,10,Dermatophytosis,4,Mycoses
T83,10,"Complications of genitourinary prosthetic devices, implants and grafts",237,Complication of device; implant or graft
G95,10,Other and unspecified diseases of spinal cord,95,Other nervous system disorders
R35,10,Polyuria,163,Genitourinary symptoms and ill-defined conditions
T32,10,Corrosions classified according to extent of body surface involved,240,Burns
T31,10,Burns classified according to extent of body surface involved,240,Burns
T26,10,Burn and corrosion confined to eye and adnexa,240,Burns
T22,10,"Burn and corrosion of shoulder and upper limb, except wrist and hand",240,Burns
T23,10,Burn and corrosion of wrist and hand,240,Burns
T30,10,"Burn and corrosion, body region unspecified",240,Burns
T24,10,"Burn and corrosion of lower limb, except ankle and foot",240,Burns
T21,10,Burn and corrosion of trunk,240,Burns
T25,10,Burn and corrosion of ankle and foot,240,Burns
T27,10,Burn and corrosion of respiratory tract,240,Burns
T20,10,"Burn and corrosion of head, face, and neck",240,Burns
T28,10,Burn and corrosion of other internal organs,240,Burns
B25,10,Cytomegaloviral disease,122,Pneumonia
A94,10,Unspecified arthropod-borne viral fever,7,Viral infection
A95,10,Yellow fever,7,Viral infection
A90,10,Dengue fever [classical dengue],7,Viral infection
A99,10,Unspecified viral hemorrhagic fever,7,Viral infection
B26,10,Mumps,7,Viral infection
B05,10,Measles,77,Encephalitis
A98,10,"Other viral hemorrhagic fevers, not elsewhere classified",7,Viral infection
A70,10,Chlamydia psittaci infections,3,Bacterial infection; unspecified site
B34,10,Viral infection of unspecified site,7,Viral infection
B04,10,Monkeypox,7,Viral infection
B06,10,Rubella [German measles],7,Viral infection
A82,10,Rabies,7,Viral infection
A92,10,Other mosquito-borne viral fevers,7,Viral infection
A93,10,"Other arthropod-borne viral fevers, not elsewhere classified",7,Viral infection
B03,10,Smallpox,7,Viral infection
A91,10,Dengue hemorrhagic fever,7,Viral infection
B09,10,Unspecified viral infection characterized by skin and mucous membrane lesions,7,Viral infection
A96,10,Arenaviral hemorrhagic fever,7,Viral infection
A68,10,Relapsing fevers,8,Other infections; including parasitic
A65,10,Nonvenereal syphilis,8,Other infections; including parasitic
A69,10,Other spirochetal infections,8,Other infections; including parasitic
A66,10,Yaws,8,Other infections; including parasitic
A27,10,Leptospirosis,8,Other infections; including parasitic
A67,10,Pinta [carate],8,Other infections; including parasitic
K44,10,Diaphragmatic hernia,143,Abdominal hernia
